epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.109,1.54454,1.78999,1.68157,0.58849,0.69432,0.6798,0.3441,2.05069,1.87239,2.54877,0.000410448,0.000410448,0.000410448
2,302.054,1.42884,1.20775,1.5326,0.56903,0.63065,0.5963,0.26807,1.7399,1.767,2.17702,0.000826912,0.000826912,0.000826912
3,483.012,1.39675,1.17525,1.52667,0.67841,0.674,0.71196,0.37041,1.70362,1.30184,2.10503,0.00124257,0.00124257,0.00124257
4,685.098,1.36565,1.12357,1.51855,0.73058,0.6474,0.74131,0.37948,1.63419,1.50473,1.97369,0.00124725,0.00124725,0.00124725
5,882.558,1.34143,1.10991,1.49963,0.84479,0.75816,0.85141,0.54467,1.16886,0.98067,1.51127,0.00124512,0.00124512,0.00124512
6,1071.08,1.29112,1.00865,1.46654,0.82437,0.83465,0.89753,0.51922,1.51091,0.89567,1.7471,0.00124238,0.00124238,0.00124238
7,1251.46,1.31169,1.03983,1.46664,0.77997,0.71483,0.87883,0.54473,1.30442,0.85278,1.59717,0.00123904,0.00123904,0.00123904
8,1422.14,1.26116,0.98591,1.43817,0.73798,0.62644,0.69871,0.44527,1.30085,1.05099,1.62433,0.0012351,0.0012351,0.0012351
9,1589.89,1.26232,0.96432,1.43693,0.82277,0.70886,0.8129,0.47309,1.29272,0.78802,1.5566,0.00123056,0.00123056,0.00123056
10,1757.97,1.2367,0.93576,1.40631,0.85551,0.8174,0.87212,0.53601,1.18771,0.74046,1.47018,0.00122543,0.00122543,0.00122543
11,1941.89,1.22354,0.92215,1.40069,0.82672,0.81945,0.86235,0.54727,1.19581,0.76679,1.50957,0.00121972,0.00121972,0.00121972
12,2118.58,1.19965,0.87487,1.38572,0.8358,0.82655,0.86152,0.54155,1.24309,0.7354,1.5318,0.00121342,0.00121342,0.00121342
13,2285.97,1.18177,0.88051,1.38787,0.85255,0.82559,0.86312,0.54394,1.22356,0.7961,1.52689,0.00120655,0.00120655,0.00120655
14,2451.42,1.16616,0.8355,1.37168,0.89421,0.79656,0.87047,0.54298,1.23809,0.71972,1.55895,0.00119911,0.00119911,0.00119911
15,2614.51,1.17144,0.80615,1.35413,0.85108,0.83504,0.86766,0.4866,1.32139,0.66205,1.60091,0.00119111,0.00119111,0.00119111
16,2777.49,1.14562,0.8225,1.35208,0.84104,0.79039,0.88698,0.56084,1.12752,0.72697,1.41914,0.00118256,0.00118256,0.00118256
17,2944.78,1.13819,0.80415,1.35546,0.86549,0.84802,0.90199,0.54639,1.27787,0.62428,1.54221,0.00117346,0.00117346,0.00117346
18,3128.64,1.15385,0.79173,1.33912,0.84497,0.85376,0.90828,0.57566,1.18899,0.63749,1.48349,0.00116383,0.00116383,0.00116383
19,3298.22,1.13582,0.80619,1.34261,0.85358,0.84684,0.88282,0.58924,1.10199,0.60133,1.41735,0.00115368,0.00115368,0.00115368
20,3468.42,1.11239,0.76731,1.31904,0.85378,0.84379,0.87086,0.55525,1.33697,0.66189,1.57771,0.00114301,0.00114301,0.00114301
21,3634.8,1.1245,0.76913,1.33148,0.89314,0.8306,0.87511,0.54734,1.21438,0.69867,1.51207,0.00113183,0.00113183,0.00113183
22,3798.88,1.10432,0.76509,1.32207,0.85462,0.87472,0.88392,0.552,1.25649,0.62753,1.51706,0.00112016,0.00112016,0.00112016
23,3963.71,1.08491,0.7446,1.29326,0.84625,0.8215,0.89571,0.58007,1.15167,0.64217,1.48422,0.00110801,0.00110801,0.00110801
24,4132.53,1.07846,0.74549,1.30133,0.84279,0.82448,0.85317,0.52482,1.25432,0.66132,1.53936,0.00109538,0.00109538,0.00109538
25,4300.4,1.08564,0.72855,1.30774,0.89911,0.82665,0.88174,0.55365,1.1754,0.62826,1.45183,0.0010823,0.0010823,0.0010823
26,4467.38,1.05919,0.7153,1.28711,0.82692,0.90992,0.92728,0.56849,1.18398,0.58325,1.47621,0.00106877,0.00106877,0.00106877
27,4639.39,1.04828,0.70381,1.2785,0.89057,0.81865,0.8776,0.5439,1.23764,0.62423,1.52914,0.00105481,0.00105481,0.00105481
28,4807.07,1.05076,0.70235,1.28191,0.85245,0.83393,0.8902,0.55941,1.07625,0.57661,1.38242,0.00104044,0.00104044,0.00104044
29,4988.33,1.05407,0.69452,1.28572,0.87493,0.84642,0.90634,0.59506,1.10763,0.57489,1.4101,0.00102566,0.00102566,0.00102566
30,5184.64,1.04077,0.69391,1.28214,0.88404,0.84817,0.8812,0.55004,1.17664,0.58865,1.4548,0.00101049,0.00101049,0.00101049
31,5395.94,1.04504,0.69833,1.2749,0.89259,0.85206,0.8673,0.58071,1.01062,0.5706,1.35912,0.000994942,0.000994942,0.000994942
32,5601.21,1.03797,0.70312,1.27242,0.85777,0.83671,0.88909,0.56129,1.15079,0.58247,1.43294,0.000979039,0.000979039,0.000979039
33,5820.6,0.99794,0.65082,1.25518,0.90294,0.86388,0.89846,0.58135,1.12594,0.59133,1.41709,0.000962793,0.000962793,0.000962793
34,6044.03,1.01821,0.66327,1.26191,0.87209,0.86158,0.87849,0.55398,1.17734,0.5619,1.4483,0.000946219,0.000946219,0.000946219
35,6246.31,1.01244,0.66972,1.24786,0.88883,0.79344,0.87731,0.57924,1.09771,0.56041,1.40853,0.000929335,0.000929335,0.000929335
